comment_text,toxic
Try the official website then - shit head!,1
I insulted people on en.wiki with criteria to provoke my filter set. You are simply abusing the power people handed over.,0
"Concerning Your Worthlessness 

Please don't touch the LCI article.  What is it with you folks?  The Lethbridge COllegiate Institute article was created by another student at this school, thus you do not have permission to edit Wikipedia anymore.  Just fuck off.  Thank you for your time you piece of shit. Goodbye.  Go to the bathroom, calmly tie a towel around your neck, and place it over the shower.  Stop breathing.  Bye.",1
"""

 SR/CL: 

U bud bin A-way. Like long time like time outa mind long.  Gooood shit but mo' latah an dat.  Soon az Ah gitz back heah sum a de brotherz 'n sistahs 
sez """"Hance dead or alive?  We're about to send a Zion Ranger to check on his condition.""""  Ah sez """"Whoa! Led me gib him a holler.""""  Dis me hollerin Bro. 
De Zion Rangerz be dem dat do most a' de walkin tru wallz.  Not all but most. De wall walkin dude ain gonna do R Bro no harm, he jes be checkin.  
EE-ben so a gentle remindah kum fuhst.  U be readin id. A leedle postin a dis 'n dat go down GOOD.  Doan fohget to cut sum ZZzz aftah a tad a postin. 
Sleep good 'n doan fergit ta dream. Sumptin might kum jes ta BDH all wrapt roun wid delta wave 'n a kupla otha' carrierz what we diz-cuss lAtah. Chow, Bro.""",1
"MILLINOS OF HUNJAN looking at hunjan template not just me other hunjan will fight back, your concept of art bull of shit!! 86.166.250.11   tharkarn and what waste man!",1
"Here we go again, same idiot reverting my changes in a pathetic attempt to make Filipinos look Hispanic.   PacificWarrior101",1
"And next time, actually first create the voting page for an AFD before bothering an editor who did hard work creating an article so you don’t waste so much of another human being’s time. I’m too busy in real life making money and paying taxes to bother with this shit.",1
"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is idiotic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want.",1
"Useless piece of shit 

You're an asshole, you useless piece of shit. Get a life, instead of deleting pages of loved ones who never did anything to harm you. Motherfuker.",1
"Ion G Nemes|talk]]) 04:08, 21 June 2011",0
"""

 Barbarians 

The Chinese as a country are nothing but disgusting barbarians. I highly recommend every and all Chinese people to flee the horrors of the CCP before they come for YOU next! Its now official, over 20,000 Falun Gong have been murdered in this genocide but the official numbers are not certain due to the """"iron curtain"""" around China. We haven't seen such destruction and genocide since the Soviet Union! Those damn Chinese. I feel bad for the Falun Gong. I hope every CCP dies of a horrible skin disease.""",1
"You are the troll, you mindless robotic piece of shit. 

All you Wikipedia fanatics are anti-Semitic vermin.",1
"Well well well 
You've just done the most stupid thing saying we have always been enemies. Now that proves you've been doing these edits just to try and piss me off. You can make up bullshit stories but I know the truth. So basically what I'm trying to say is fuck you. Hell I don't mind getting banned for saying that I'm leaving this account and won't be back wasting my time with an idiot like you on here, hating people for no reason. It's a shame people like you give wikipedia a bad name. And I won't be making up bullshit stories like you did saying you had left while you were under an IP the whole time. Thanks",1
"""
 lol! let the porky make a fool out of himself. i also suspect that he is infact using socks himself. follow his edits, and note the right-wing idiots who supports him. """,1
"""

 This is why Wikipedia is a joke and can never be trusted. 

It is extremely silly for Wikipedia to label a male transvestite as a """"she."""" It is impossible to change one's sex, you idiotic communist pieces of shit. Science trumps your bizarre fundamentalist socialist religion. Stop enabling people who suffer from gender identity disorder. It is harmful to their health.

I fully expect to be maligned as """"transphobic"""" or some other such nonsense for speaking the truth, because that is common tactic you people use to silence your critics.""",1
"who cares? if i was blocked on myspace or pulse music board, then i would be more concerned.",0
""":::::: Oh, shit! I genuinely did not mean to do that. I just saw Sarek's message and clicked 'undo' intending to delete it. Didn't notice that they also removed the passage at the same time! ╟─Tag►Africa, Asia and the UN─╢ 
""",1
"LMAO, what a n00b. Go and listen to manele!",0
"""
ARE YOU FUCKING RETARDED?
  TAB

Please do not delete content from articles on Wikipedia, as you did to Solaris (2002 film). Your edits appear to be vandalism and have been reverted. If you would like to experiment, please use Wikipedia:Sandbox for test edits. Thank you. Ali 
  TAB
 TAB
What the fuck is your problem. Did you even read what I deleted?
  TAB
 TAB
DO you know what the word PLOT means?
  TAB
 TAB
Plot does NOT mean talking about the movie's trailer or what genre the movie it is. A plot is a SUMMARY of the movie.
  TAB
 TAB
Read what's in the Plot section of """"solaris"""" right now you fucking retard and tell me if it really belongs under the section plot... or any other section. It looks more like trivial facts which are unsupported and should be DELETED as per wiki regulations.
  TAB
 TAB
Here's an example, dumb fuck, from the solaris wiki page:
  TAB
 TAB
""""The film essentially ignores the planet which only serves as an anonymous backdrop, in contrast to Lem's novel which discusses at length the mysterious phenomena on its surface and the futile human attempts to understand them.""""
  TAB
 TAB
That is NOT neutrality and has NOTHING to do with the plot.
  TAB
TAB
Jesus FUCKInG CHRIST. Wiki is full of fucking morons.
  TAB
 TAB
Delete that shit.
  TAB

""",1
"Yes, I like the suggestion also. It looks pretty good, and by leading into the next sentence about the bering strait crossing, it conforms to the rest of the article since later on we get more details on the prehistoric migrators. I'll just edit Yee's suggestion in.",0
This idiot graceful slick needs a friend to touch his no no spot 172.56.34.4,1
"""
Hmmm. There is a way to do this. I'll see if I can remember what the code is. gabsadds """,0
"William L. Walsh 

Hello Lemurbaby.
There has been no recent improvements to the William L. Walsh article for GA status.  Possibly this article needs to be withdrawn from the Good Article nominations page, unless, recommendations have been addressed.",0
"KOSOVA Article
You are nobody, therefore don't try to act all ape shit.  Frankly we're all getting sick of your povness and edits.  If you wanna troll these parts of WP then I can play tit for tat.  Buh Bye little boy. )",1
"You are a Disgrace 
Sitting there with no life reverting valid edits. Get a life idiot 70.26.41.242",1
"you better sleep with an eye open, you don't know which way the trouble will come from shitbag!",1
on my own talk page without leaving there fucking username needs to come and suck my dick becuse i realy think they should at least be able to back there shit up.,1
You won't find any creditable citations because such claim is a load of racist horse shit.,1
2-Aug,0
"""

 Ryanpostlethwaite 

I'm not going to sit here and just blatantly make fun of what you do and who you are. However, I look at your picture(funny how you put a drunken picture of yourself, trying really hard to convince your readers that you actually have friends) and it's quite easy to see that you're an ugly little parasite. As I browse through your insignificant pages on Roger Royle and Harold Gaba (that must have taken hours to make), and I know right then and there that you're a compulsive masturbator. I look at all your Wikipedia buddies and their comments concerning """"speedy deletions"""" and """"harassment via Wikipedia"""" and I now understand why there are entire hospitals throughout the world that treat internet addictions. So go ahead and suspend or block or whatever it is you people do to naughty Wikipedia users, because I could really careless. You piece of shit.""",1
To the writer of above paragraph. How mean and rude your statements are. Van Johnson was a wonderful actor. Eve was the love of his life and what you wrote above that he liked young men and teenage boys is lies. He was not gay. He was bisexual according to Eve and from other sources. Please do not disrespect actors on Wikipedia.,0
"ADMINS SUCK!! 

THE FUCKING ADMINS SUCK ASS! I FUCKING HATE THE PEOPLE WHO DELETE MY FUCKING SHIT!!!!!!!!",1
"Geometry of love 
Good day. Can you search some sources for article Geometry of Love ? Probably this article contain interesting fact for DYK.",0
"hey idiot 

you were the one that was repeatedly undoing MY edits. Go away, AND STOP VANDALISING!",1
"""

""""Apparently, you don't realize that your colllege operates under 3 small digits. If those are blocked, you are gone for good. Also, I will not bother agruing with you on your opinions, not like I can change them, but you are a troll, a sockpuppeter, and a vandalizer. If it takes a block of 205.189.25.*, because we have had nothing but trolling from that college, that that is what it takes. Daedalus (talk)  """" ... are u sure about that?""",0
"FUCK YOU, YOU PARANOID BITCH!!! 

YOU ARE a ugly unwanted bucket of sludge who is obsessed with the unwanted festering sputum bag from hell and the teletubbie rubbing pantaloon you try to bite the mailman, you c.u.m guzzling sick minded prick who cooks for the filthy freak and the decomposing penguin groper thy fawning ill-nurtured lout hath a idle-headed maggot-pie If not for your daddy, you would be a racist cursed horny toad who eats the earwax of the brain dead snotbox and the crap eating horny toad and you lift your leg on trees, you evil naked weasel who slobbers on the wrinkly snob and the anatomically incorrect disfunctional buffoon so quit being so stupid, you cat litter munching abysmal lunatic who slobbers on the cat harassing rectum and the anatomically incorrect lunatic. 
You big smelly cunt! 
Your mums crack tastes like MINCE and  
Fuck your mouth. Your girlfriend is ugly. 
If my dog is as ugly as you are, i would shave his ass and make him walk backwards. 
You are just cum you mom should of swallowed. 
You are just a dog that jumped the fence and ran away. 
How did you get here? Did someone leave your cage open? 
Are your parents siblings? 
Hey are you lost? Which way did you come in? 
Does she have an appetite? She looks like she has an appetite. 
Go ahead, tell them everything you know. It`ll only take 10 seconds. 
I`d love to go out with you, but my favorite commercial is on TV. 
You fail at life 
and 
Please press the reset button on your life 
You should see the expressions on their faces, priceless. __________________ 
GAME OVER MOTHERFUCKER! >:( 

Thanks to you neither me nor my family will  give this shit foundation a fucking dime. 
Do Wikipedia a favor and just delete your account.

Have a nice day.",1
"""

 That wasn't nice 

I am reposting this to piss off Tbhotch. Enjoy, you dumb piece of shit. Have fun being jobless. Soon teachers that think too highly of themselves won't be a problem in this country anymore. And if you're going to run around tossing threats because you're too fucking stupid to accept reality instead of getting into a flame war over demographics pissing off an entire base, then save yourself the trouble of throwing around even more threats and just ban me like you dumb public school pieces of dog shit wiki editors keep threatening over and over again. Just make sure you have every VPN and Spoof address banned also or you're just going to be wasting your time.

Oh, and;

""""It's people like you that make this place not worth coming to. If google would stop linking here then I would gladly stop using this website. Why do roughly 75% of all wikipedia editors (whatever that is) act like you do, aka an uneducated biased and complete fucking retard?""""""",1
"Paul Tibbit is a fucking-ass little piece of smelly donkey shit that raped SpongeBob rock-hard!!! 
I hope Paul Tibbit gets fucking cancer and burns in hell!
PAUL TIBBIT IS A WEED-SMOKING BASTARD WHO COMPLETELY FUCKED UP SPONGEBOB!!!!
SpongeBob is a pile of crap now. I don't think I've ever hated a person more than I hate Paul Tibbit. Him and his piss-poor animation skills.
Yeh Tibbit is SUCH A HOMO!!!!
I hope he fucking dies!
What the motherfucking hell is up with people these days? Nick's people obviously smoked lots and LOTS of crack in 2004!
I love Old SPongeBob. New SpongeBob. I don't blame SB. I blame FUCKING PAUL TIBBIT!!!!  SCREW YOU PAUL!!!!
Thanks to that man-hag SpongeBob is completely f++ked up. 71.64.6.46",1
"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker muthafucker. Fuck u u racist bitch. I hope u die.",1
"Referring to her as *Catherine* 

I was told in no uncertain terms that I could NOT refer to anyone, living or dead, by their 1st names on WP, & if a female had a title, she had to be referred to as that throughout her article - ie, *Lady Amy* or *Lady Dudley* for Amy Robsart, even though *Lady Amy* was wrong before she was married as she was the daughter of a knight & had no title, & wrong after Northumberland was attainted & all his children lost their styles as offspring of an earl & a duke, & she did not become *Lady Dudley* until Elizabeth I knighted Robert Dudley near the end of Amy's life nor was she then *Lady Amy Dudley* as legally she was no longer the wife of the son of an earl & duke.  I thought it was simpler to refer to her as just *Amy* throughout rather than explain the changes that occurred with her name & styles, but was told it was against WP *rules* (though I wasn't pointed to a link for it).  Noblewomen are usually called by their 1st names round here as far as I can see, even when they have surnames & are not *of* something!  Mary Boleyn is called *Mary*, not *Lady Carey* or *Lady Stafford*, Catherine Neville is called *Catherine* & not *the Duchess of Norfolk*, etc, & they're not royals.  

As for males, I was told they had to be referred to by their title - ie, *Leicester* -  or last name - ie, *Dudley*.  I was banging head on keyboard going, but - no one just says *the king* all the time or refers to them as *Plantagenet* or keeps changing their titles - ie, Henry of Bolingbroke going from Earl of Derby to Duke of Hereford to Duke of Lancaster to King of England -  

So how does Kate get to be consistently referred to as *Catherine* throughout the article, without her title appended?  I've only been here a few months & I would appreciate it if someone could actually explain this to me, as my main interest is British history & I am quite confused.",0
PAGE I TRIED TO CREATE IS NOW AN ACTUAL PAGE LOL YOU BANNED ME FOR NOTHING,0
"screw you
why dont you stick it up your fucking ass than lick it out, block it i dont give a shit you fucking bastard, suck my fucking BALLLLLSSSSSSS!!!!!!!!!!!!!!!",1
"""

 Rollback rights request 

Hello: I see you are listed as an admin. who is willing to consider and grant rollback rights. I would ask for that consideration at this time. I have 9,175 edits and have reviewer rights. I have written ten articles and helped two gain """"good article status"""". Please feel free to ask me any questions needed. Thank you for your time,   """,0
Hey idiot. I'm simply verifying the TRUTH. Mobile17 was NOT the first to have a ringtone maker online.. Brinked was. Do some fucking research before you remove my shit. Tired of you assholes removing my hard work I'm putting into making wikipedia a relevant page.,1
"Future Perfect at Sunrise|☼]] 14:59, 16",0
"YEAH

looking thorough history and stuff, get a life, you sad little man, get off your arse a get a life, find better things to do than governing things on Wikipedia, I BET UOU LIKE THE SMELL OF YOUR OWN SHIT, I BET YOU GARGLE YOUR OWN PISS, I BET YOU LIKE TO WANK OFF TO KIDDY PORN, YOU SADDO, YOU FUCKING SADDO, FUCK OFF AND DIIIIIIIEEEEEEEEE",1
"Insult for MusikAnimal 
, you're a fucking shit, the reason that i'm insulting is because , fuck you Wikipedia.",1
"you are an american biaes idiot 

you are an idiot who wants to dserstroy wikipedia. It is people like you who are responsible for the currwnt destruction of all that is good in the way wikipedia works I think you should get a life and stop deleting articles you American biased wally.",1
"""
a play on """"Full of shit"""". Unblock it if you like.  """,1
"""
13:07 is when that part of the video shows it.  It says """"lots of small villages have prostitution in karaoke joints,"""" and that this one had a single orangutan in it.  It doesn't say its common everywhere though.  """,0
"No I dont agree, my info will be saying up. Since you are in such a hurry to edit the page why dont you fix the info that have you have sourced with a broken link (  )",0
I believe that I have obeyed the communities rules. I do understand the rules about personal attacks. But it appeares to me that they are being applied unjustly in this instance. I have provided countless hours of academic research and input for Wikipedia. Please assume good faith on the part of the blocking admin! I am an intelligent adult. I naturally assume good faith until other parties demonstrate they don't. It seems to me this is a one-side affair.,0
"31 July 2007
 Please stop. If you continue to vandalize Wikipedia, you will be blocked from editing.",0
"What do you call yourself? A person who is trying his best to undermine the true history of Gustave Whitehead, why? Who are you and why are you doing this? It is inappropriate.",0
"""

hahahaha.... good one ......
I have removed it.
 """,0
Admins stick together. Never talk back. I get it.  Lots of shit.  The Dissident Aggressor,1
""":::: Tim Shuba, those aren't """"spam links"""", contrary to your false and Wikipedia-policy-violating statement (e.g., it violates WP:Assume Good Faith). The Theophysics website is hosted on free website hosts, some of which place adds on HTML pages, yet no money goes to the website creator.  

""",0
"It seems you like playing some game that revolves around effing people who dare cross you (and getting their editing privileges suspended). You seem intent on driving potential editors away so you have the playground all to yourselftoo bad. I really could care less about the vacuous, anorexic piece of fake shi* known as Beckyknock yourself out. GFYourself!",1
"many unsecured wi-fi hot spots, so many idiot wikipedia pages",1
"Looks good to me. I think a nice pic of Midtown from across the East River would be the best possible addition to the montage, but there isn't one currently available on wiki commons.",0
"""

 Silesians 

Andrew, I have not made any comments out of a desire to provoke you. I have been editing this article out of a desire to ensure it meets the standards and conventions of the English Wikipedia. I am sorry you had a negative experience with the German Wikipedia, but that is a separate project from this English project. Assuming good faith is a fundamental principle of the English Wikipedia; I advise you to give editors a chance instead of assuming the worst. I inquired about Silesian/Polish because Silesians are sometimes considered a separate ethnic group. I am not sure what you mean by """"reverting the article upside down""""; my editing has been done to ensure that its formatting and style is consistent with other biographical articles. As I do not anticipate being able to copy-edit the article further, I am removing it from my watchlist. Good luck with the article. Olessi  

Thanks for you comments, and in fact fruitful discussion. You are right that the work of a person is most important.
However, there are much present and past propaganda, which destroy the peace. If only some people would show objectivity and patience, as you did, it could be clear up. To mention nationality is however important, since exceptional individuals inspire new generation of a nation. (Unfortunately, nations or ethnic groups will still exist. I have to hope for peaceful coexistence of them, and fair competition. Seems to me that competition has to exit too – best if for fun only.)
I am conscious that English and German Wikipedias are separate projects, but you see, when I approach German Wiki, Dzierzon article the Polish relevant article was attacked by some German/Silesian/Polish guy. It cost me more then here on En Wiki to settle the Pl article well. So sorry if you did feel bad about my attitude, possibly I explained more my excitement.

With Silesian is in short like this: Originally, they were Slavic tribe, spoke Polish, as I mentioned. For some 300 to 500 hundred years there were under German governments. They had bad time as you possibly can imagine. Many of them married with German and were/are of course confused who they are. You know, the pressure on east of resilient nation and of course Polish-German conflicts continued. Finally in 1945 Poland returned and become new problem for some of the natives. Even those who honestly considered himself Polish Silesians at the end of war could be persecuted. There in Poland was complete disorder. Soviets and Communists arrived, most of them real simpletons any way. “National” government - just pro-soviet mafia, was mostly occupied with fight against democratic opposition. Polish borders were shifted. We lost some 20% of our area and millions of people from east territories moved to present west Poland. You can imagine that most of them were not intellectuals at all, some of them completely simple people. They spoke different Polish dialect also. On top of this in the post war, pro-soviet atmosphere criminals found good playground. Well, I do not know if you are familiar with criminal minds – unfortunately I am. This is like gangrene on fresh wound, literally. Thus many of the native Silesian could be robber in Poland, which they wanted so much. I believe that in such conditions many simpletons could use the opportunity accusing natives to be Germans.

Now, the present time, some of the falsely accused people remember the tragic experiences and want rehabilitation and apology – they could be absolutely right. However, there are many Germans who want their property back and some just using opportunity to stir in internal Polish affairs - despite the final border agreement between Poland and Germany signed on 14 November 1990 and governments effort to improve relations.
Finaly I have to say, I beleave that Polish are hospitable and very often naïve. Not many realize that politic need caution. Those who realize that have a hard time to wake up the naïves. Some procentage remember lectures of history, and objectively, too many Germans are toublemakers. I am also convinced there exists something like national character. You can have obviously you own opinion, let me have my own.
Returning to Silesians it is something close to squaring the circle . I wish the true Silesian all the best but I do not want Fith Column  on Polish terytory in addition.

Sorry if I used posibly ofencive """"reverting the article upside down"""" that was in the heat of the battle, wich I still have with Ge Wiki. They just arogantly do not answer if they do not like and refuse mediatior at any imaginative pretext. That sucks.

Sorry and thanks again. Feel free to contact me any time you need.
Best regards, 
Andrew 02:23, 9 December",0
"""  WILL MY MOTHERFUCKING SAFETY BE GUARANTEED???? I FUCKING HOPE SO!!! I'M BRINGING MY OWN FUCKIN' WEAPONS!! PAY ME WHEN I GET BACK MOTHERFUCKERS!!!  OH YEAH I'VE GOT A JOKE...A FAMILY (HUSBAND, WIFE, SON, DAUGHTER, DOG) WALKS INTO AN AGENT'S OFFICE AND TELLS HIM THAT THEY'VE GOT A GREAT VAUDEVILLE ROUTINE...HE SAYS """"WE DON'T HIRE KIDDY ACTS"""" AND THEY SAY """"BUT WE'RE REALLY GOOD!"""" AND SO THE AGENT SAYS """"FINE, LET ME SEE WHAT YOU'VE GOT, BUT IF YOU SUCK I'M THROWING YOU OUT""""...SO THE FAMILY GETS READY...THE DAUGHTER HITS THE CD PLAYER AND CIRCUS MUSIC BEGINS PLAYING, THE FATHER JUMP KICKS THE SON IN THE HEAD AND STOMS HIS FACE IN THE GROUND UNTIL IT'S A BLOODY PULP, THEN PROCEEDS TO JERK OFF AND CUM ALL OVER HIS SHATTERED SKULL.  MEANWHILE THE MOTHER BEGINS VIOLENTLY FINGER FUCKING THE DAUGHTER AS THE DOG FUCKS THE MOTHER IN THE ASS HOLE.  THIS IS THE POINT WHEN THE FATHER TAKES THE LEFTOVER BRAIN MATTER FROM THE SON'S HEAD AND SHOVES IT INTO THE MOTHER'S PUSSY, THEN BEGINS FUCKING HER PUSSY WHILE SIMULTANEOUSLY STICKING HIS FINGER DOWN THE DAUGHTER'S THROAT UNTIL SHE VOMITS ALL OVER THEM BOTH.  THEN THE DOG BITES THE MOTHER'S HAND OFF AS SHE'S FINGER FUCKING THE DAUGHTER, LEAVING HER HAND IN THE DAUGHTER'S PUSSY AS BLOOD SQUIRTS ALL OVER THE PLACE...THE FATHER TAKES BLOOD FROM THE GROUND, SMEARS IT ALL OVER THE MOTHER'S CHEST, BENDS OVER, AND BEGINS SHITTING ALL OVER THE OPEN WOUND WHERE HER HAND USED TO BE BEFORE THE DOG BIT IT OFF.  THEY TAKE THE DOG AND SHOVE IT IN A MICROWAVE, HEATING IT UP UNTIL IT EXPLODES, THEN TAKE THE DOG REMAINS, MIX IT WITH THE FATHER'S SHIT, THE SON'S HEAD WOUND, AND THE FATHER'S CUM, AND SHOVE IT INTO THE DAUGHTER'S MOUTH.  THEN THE FATHER RIPS THE SON'S DICK OFF AND FUCKS THE DAUGHTER WITH IT, AS THE MOTHER LOCATE'S THE SON'S TESTICLES, BREAKS THEM OPEN, AND DRINKS THE SPERM THAT COMES OUT.  THEN THE FAMILY LINES UP AND SAYS """"TA DA!""""...THERE'S SILENCE FROM THE AGENT, UNTIL HE FINALLY SAYS """"I LOVE IT!  WHAT DO YOU CALL THAT?""""...AND THE FAMILY SAYS """"WE CALL IT...THE ARISTOCRATS!""""""",1
"hey dumbshit, i drove on state road 54 today past the northern terminus of Gunn Hwy.  AND GUESS WHAT?  The road was still signed as SR 54, NOT Gunn Hwy.  Now, either give me an exact location that it's signed as Gunn Hwy or stop reverting back false information. 71.100.31.227",1
"""

 Not clear enough... 

The """"Family"""" programing thing is over with right? 2 weeks ago this netowrk showed a blaxplotation double header consisting of Superfly and Shaft. Yes they were edited for broadcast, but they still ain't family freindly. And that Mytv stuff is filled with sex. Not that i mind, i love sex and violence, but the article wasn't very clear about the fate of the """"family"""" thing. This is great though, i hate that family freindly bull shit and i wanted this so-called""""network"""" to fail and it has. Fuck you paxton!""",1
"Wtf, Why You deleting Maashel? Bad things will happen to you now.",1
no think o it this way im doing all that same shit youve been doing to me okay also ill let them merge if youd stop getting rid of my stff and apologize and get rid of that shit tryna get rid of my page and also go to hell,1
I think it is a little disingenuous of Zet to claim that a division which had lost most of its fighting troops was 'far from destroyed' when its fighting capacity was close to nil.,0
"you are a chicken shit cock sucking pussy bastard! 

you are a chicken shit cock sucking pussy bastard!",1
"""

 Gift cards for downloads 
Re: """"As of December 28, 2007 it is not possible to use gift cards to purchase MP3s even though the gift card FAQ claims """"Yes, Amazon.com gift cards can be used to buy Amazon MP3 and Unbox downloads"""" """" - strictly speaking, this is a false statement as were able to pay for orders with a gift card at that time.  One person already removed that line but it was reverted.  Is there a good way to go about providing verification?    """,0
"FUCK U! 

I AINT G0TTA DO SHIT AND FUCK WIKIPEDIA YALL WEAK MOTHER FUCKERS GET UR INFO RIGHT AND LOCK ALL UR SHIT CUZ YOUR INFO IS ALL WRONG SO SUCK MY DICK AND FUCK U BITCH AND MIND UR BUSINESS OR U CAN SUCK MY DICK OR KISS MY ASS!",1
"You know what, this is bullshit.  Tried to do it twice, but now I'm really done with this place.  Most of the users are just sheep and the inmates are running the asylum.  Even worse, you are guilty until proven innocent.  Not a democracy, not cooperation.  Not the place for me.  I have a life, I know I'm a damn good writer and I'll find a place where my abilities and hard work is appreciated.  Screw Wikipedia, goodbye forever.",1
"Bald Eagle
I've addressed all your points so far. Cheers, Jude.",0
"""

oh i see, my comment is a personal attack but others, for example one who called him a """"dumb-ass little shit"""" and SqueakBox (annoying user of the week) agreeing, isn't? p-lease, your removal of solely my comment is unfair and irrational (as it was just speaking the truth - wikipedia's obsession with civility borders on the ridiculous when it means people have to hide what they really think and play nice with obviously disruptive users so that they won't get hit with the banhammer).  """,1
"hey asshole, keep your retarded politics off Wikipedia, OK idiot? I know you're special needs but Wiki isn't for your political positions on groups, it's for facts. If you revert that article on OPSEC again, there will be consequences.",1
"No, it's not a delayed reaction

I just happened to read your wonderful warning yesterday. Unlike you, I don't visit Wikipedia everyday. But I'm surprised to see that you are too dense to figure that out.

Idiot. HA HA HA HA HA XD",1
"hey shithead 

quit fucking with all the ufc pages and go get a fucking life you god damn mother fucking loser.",1
"you're a PATHETIC, BUREAUCRATIC piece of slime. You can remove your withered ballsack with a rusty shears,
 or you can eat my shit. Your name will be on the syph list one day, with a †.",1
"""
I am not far right. I am Jewish, not related to Gamergate (it is bizarre and idiotic), and I hate both far right and far left. You are far left, so I hate you.  — Preceding unsigned comment added by 190.207.63.200   """,1
"Proposed approach 

This section is intended to be a compilation of actions needed to improve this article, based on discussion views and discussion on this page. I will begin by suggesting a few steps we can take to address concerns raised. These include: article length, length of notes section, need to place greater emphasis on his teachings and impact, layout (use of non-standard article headings), quality standards, etc. Here are some suggestions. Please feel free to add additional issues that need attention and comment on the order of doing things.
 Review headings, re-order as needed using standard layout
 Determine sections to be moved to sub articles
 Write summaries for these sections
 Create sub articles
 Review/reduce notes section
 Edit according to Good article criteria and/or Featured article criteria
 Submit for assessment",0
"""Please note that DPeterson has now starting accusing me of vandalism for editing this very page Advocates for Children in Therapy.  I chose to edit by asking for citations for the """"facts"""" he published on the page.  How can that be vandalism?  It seems he can run roughshod over Wiki policy and guidelines, but any reasonable attempt to make him justify it is """"vandalism"""".  

""",0
"FUCK YOU NATLIE YOU DUMBASS CUNTBAG!
I HAVE A DYNAMIC IP
U CANNOT BAN ME
TOUGH SHIT AINT IT CUNT?

so go suck some random ass fuckers cock, before i vandalize your entire site..
B-I-O-T-C-H!

DONT MAKE ME COME FIND YOUR ASS IN OHIO, I READ YOUR WIKI ENTRY!
KNOCK KNOCK*
YOUR DUMB PUTTING THAT MUCH PERSONAL INFO OUT THERE AND CALLING OUT TROLLS WITH
DYNAMIC IP RANGES YOU DUMB BITCH!",1
"Yopie 

Yopie is very known czech phanatic idiot, he confused Czechia and Chechnya for example. Fuck him!",1
"It's from one of the many books on various bands... I thought it was from Cult Rockers, but I just checked and Supertramp isn't in there.  I will seek out a source for this quote. -",0
"Calling idiots stupid and retarded doesn't qualify as a personal attack because it's true, and the only way you wouldn't know this is because you're stupid and retarded.",1
"""

 Context of """"In the beginning""""? 

The article starts in media res. What was """"the Truman Committee"""". At the very least a link?   """,0
"""

If you don't believe me, go look at the source for yourself, after Melodic Death Metal it says """"1"""", click on the 1 or go to the source section, click on it, and there you have it...no reliable source, so remove that shit please.""",1
